Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,1 Seat available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 79324,Volvo A/C Seater (2+2),13:45,18:30,04h 45m,INR 298,17 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:30,14:55,04h 25m,352,30 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),10:50,14:45,03h 55m,362,29 Seats available,3.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Upasana Travels (Under ASTC),Non AC Seater (2+2),11:00,15:00,04h 00m,INR 290,20 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
ANIRUDDHA TRAVELS,A/C Seater Push Back (2+2),11:00,16:00,05h 00m,INR 285,25 Seats available,3.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),11:10,15:10,04h 00m,INR 380.95,15 Seats available,4.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),12:00,16:30,04h 30m,INR 380.95,12 Seats available,4.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),12:50,16:50,04h 00m,INR 380.95,23 Seats available,4.2,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:20,17:40,03h 20m,377,21 Seats available,4.5,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahalaxmi Travels,A/C Seater (2+2),14:35,18:15,03h 40m,INR 300,39 Seats available,4.4,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),19:00,23:45,04h 45m,450,32 Seats available,3.9,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,19 Seats available,4.3,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,351,24 Seats available,4.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,03h 40m,INR 360,35 Seats available,4.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Karisma Aarna,A/C Seater Push Back (2+1),17:00,21:30,04h 30m,351,32 Seats available,4.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,03h 25m,INR 360,27 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
