Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 514,Ordinary 3+2 Non AC Seater,11:30,17:40,06h 10m,INR 290,35 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 405532,A/C Executive (2+3),12:00,17:00,05h 00m,INR 390,23 Seats available,3.4,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,17:45,05h 15m,INR 285,35 Seats available,2.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 585,Ordinary 3+2 Non AC Seater,16:00,21:30,05h 30m,INR 285,26 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 526,Ordinary 3+2 Non AC Seater,17:00,23:00,06h 00m,INR 275,30 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,23:20,05h 21m,INR 290,27 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 587,Ordinary 3+2 Non AC Seater,18:25,23:00,04h 35m,INR 285,33 Seats available,2.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 549,A/C Executive (2+3),19:25,00:40,05h 15m,INR 390,18 Seats available,2.4,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 548,Ordinary 3+2 Non AC Seater,19:31,00:45,05h 14m,INR 290,28 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 545,Ordinary 3+2 Non AC Seater,19:32,00:15,04h 43m,INR 275,35 Seats available,4.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),10:00,15:05,05h 05m,542,1 Seat available,4.2,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater/Sleeper (2+1),11:00,16:45,05h 45m,523,3 Seats available,4.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater/Sleeper (2+1),13:00,18:45,05h 45m,475,13 Seats available,4.1,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
AdKhurana Bus Service,Volvo A/C Semi Sleeper (2+2 ),22:05,04:05,06h 00m,INR 999,43 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),13:30,18:55,05h 25m,534,18 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165750,HVAC Seater (2+3),12:20,15:05,02h 45m,INR 195.6,41 Seats available,4.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165752,HVAC Seater (2+3),14:20,17:05,02h 45m,INR 195.6,32 Seats available,4.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Zimindara Travels,AC Sleeper (2+1),20:00,22:45,02h 45m,INR 799,26 Seats available,3.9,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
City Land Travels,A/C Seater/Sleeper (2+1),22:30,00:30,02h 00m,853,22 Seats available,3.8,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Kohli Tour & Travellers,VE A/C Semi Sleeper (2+2),23:50,01:30,01h 40m,450,28 Seats available,3.8,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Shri Krishna Travels ( Jai Shree Ganesh Yatra Co.),A/C Sleeper (2+2),23:15,02:30,03h 15m,INR 1999,29 Seats available,3.8,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Rajpreet Travels and cargo,VE A/C Sleeper (2+1),19:10,21:00,01h 50m,INR 7500,36 Seats available,3.3,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
KN Nehra Travels,A/C Seater / Sleeper (2+1),22:50,01:15,02h 25m,INR 799,29 Seats available,2.8,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,16:55,05h 35m,INR 414.3,39 Seats available,4.3,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,18:05,05h 35m,INR 414.3,43 Seats available,3.7,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,19:35,05h 35m,INR 414.3,46 Seats available,3.8,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,20:05,05h 35m,INR 414.3,45 Seats available,3.7,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,21:05,05h 35m,INR 414.3,46 Seats available,4.3,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,22:05,05h 35m,INR 414.3,45 Seats available,3.3,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,22:35,05h 35m,INR 414.3,45 Seats available,4.3,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
