Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1300,8 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 180183,A/C Sleeper (2+1),20:30,06:00,09h 30m,INR 1300,9 Seats available,3.8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 999,17 Seats available,4.7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),23:30,08:45,09h 15m,INR 999,8 Seats available,4.7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),21:05,08:30,11h 25m,INR 1050,16 Seats available,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdAnand Tours And Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:45,07:45,10h 00m,1081,27 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 999,10 Seats available,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:55,09:40,09h 45m,1229,13 Seats available,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels Club,Non A/C Seater / Sleeper (2+1),21:20,08:50,11h 30m,INR 710,26 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdPrasanna - Purple Bus,VE A/C Sleeper (2+1),23:45,09:00,09h 15m,1350,22 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),22:40,09:25,10h 45m,900,22 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:25,07:30,10h 05m,INR 667,35 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo A/C Seater (2+2),17:05,06:00,12h 55m,INR 1500,10 Seats available,4.1,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Kadamba Transport Corporation Limited (KTCL) - 182011,A/C Sleeper (2+1),18:45,06:01,11h 16m,INR 1000,13 Seats available,3.9,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),16:55,09:00,16h 05m,INR 714,29 Seats available,4.6,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,VE A/C Sleeper (2+1),17:00,08:35,15h 35m,INR 1727,10 Seats available,4.5,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:00,09:40,15h 40m,1327,13 Seats available,4.4,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdLaxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,11:05,16h 05m,INR 1200,31 Seats available,2.7,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:00,06:00,17h 00m,INR 1000,27 Seats available,4.4,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),18:15,10:20,16h 05m,INR 1000,22 Seats available,4.3,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),18:45,10:30,15h 45m,INR 1000,19 Seats available,4.3,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdAtmaram Travels,NON A/C Sleeper (2+1),18:00,10:15,16h 15m,INR 900,14 Seats available,3.7,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
