Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,INR 540,35 Seats available,2.8,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,INR 660,27 Seats available,4.0,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,INR 540,25 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 540,21 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 2040094,Ordinary 3+2 Non AC Seater,18:31,04:15,09h 44m,INR 540,26 Seats available,4.1,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 93,Volvo A/C Seater (2+2),19:35,04:50,09h 15m,INR 1051,2 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 540,18 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 660,14 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 8,Volvo A/C Seater (2+2),21:02,06:30,09h 28m,INR 1051,1 Seat available,4.1,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 540,35 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
