Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 187798,Volvo A/C Seater (2+2),11:55,15:50,03h 55m,INR 460,1 Seat available,4.6,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 195911,Express Non AC Seater 2+3,12:00,16:30,04h 30m,INR 229,41 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 202404,Semi Deluxe Non AC Seater 2+2,12:15,16:15,04h 00m,INR 250,35 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194408,Express Non AC Seater 2+3,12:35,17:05,04h 30m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 157455,Volvo A/C Seater (2+2),13:00,17:00,04h 00m,INR 460,9 Seats available,4.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190571,Express Non AC Seater 2+3,13:15,18:00,04h 45m,INR 229,42 Seats available,2.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 188046,Express Non AC Seater 2+3,14:15,19:00,04h 45m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 199305,Express Non AC Seater 2+3,14:30,19:15,04h 45m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 146140,Volvo A/C Seater (2+2),14:46,18:48,04h 02m,INR 460,10 Seats available,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 169078,NON AC Seater / Sleeper 2+1,15:00,19:30,04h 30m,INR 302,36 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190572,Express Non AC Seater 2+3,16:15,21:00,04h 45m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194178,Volvo A/C Seater (2+2),16:30,20:30,04h 00m,INR 460,13 Seats available,3.6,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 160785,Volvo A/C Seater (2+2),17:30,21:30,04h 00m,INR 460,37 Seats available,4.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190951,Express Non AC Seater 2+3,18:00,22:30,04h 30m,INR 229,42 Seats available,2.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,11:00,15:30,04h 30m,INR 330,39 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
V k jain travels,AC Sleeper (2+1),11:15,16:20,05h 05m,INR 580,20 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,A/C Seater / Sleeper (2+1),14:00,18:00,04h 00m,INR 430,28 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Seater / Sleeper (2+1),15:30,20:00,04h 30m,INR 550,20 Seats available,4.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),15:30,20:30,05h 00m,INR 330,39 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 163465,Express Non AC Seater 2+3,12:25,16:45,04h 20m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 202446,Deluxe AC Seater 2+2,12:30,16:45,04h 15m,INR 371,25 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 180151,Express Non AC Seater 2+3,12:30,16:45,04h 15m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 195217,Express Non AC Seater 2+3,13:22,17:45,04h 23m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 156276,Express Non AC Seater 2+3,14:20,19:20,05h 00m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 182944,Express Non AC Seater 2+3,14:40,19:00,04h 20m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 201172,Express Non AC Seater 2+3,14:50,19:00,04h 10m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 193130,Express Non AC Seater 2+3,15:22,19:00,03h 38m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 194408,Express Non AC Seater 2+3,15:40,20:00,04h 20m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 180708,Express Non AC Seater 2+3,15:45,20:30,04h 45m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 193666,Express Non AC Seater 2+3,16:25,20:50,04h 25m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 157466,Express Non AC Seater 2+3,16:40,21:45,05h 05m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 193879,Express Non AC Seater 2+3,17:00,21:30,04h 30m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 169915,Express Non AC Seater 2+3,17:30,21:30,04h 00m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 190595,Express Non AC Seater 2+3,17:35,22:00,04h 25m,INR 211,42 Seats available,3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Chandra Raj Travels,A/C Seater (2+2),11:30,15:15,03h 45m,INR 460,38 Seats available,3.3,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
V k jain travels,NON A/C Seater/ Sleeper (2+1),12:35,17:00,04h 25m,INR 400,36 Seats available,3.1,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,NON AC Seater / Sleeper 2+1,14:40,18:30,03h 50m,INR 350,36 Seats available,3.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,A/C Seater / Sleeper (2+1),17:20,20:45,03h 25m,INR 300,31 Seats available,3.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,NON AC Seater/ Sleeper (2+1),19:30,23:00,03h 30m,INR 350,35 Seats available,3.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 156586,Volvo A/C Seater (2+2),12:30,18:45,06h 15m,INR 740,7 Seats available,3.4,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 199451,Express Non AC Seater 2+3,13:20,21:00,07h 40m,INR 363,42 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 201194,Volvo A/C Seater (2+2),13:31,19:45,06h 14m,INR 740,13 Seats available,3.8,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 143156,Volvo A/C Seater (2+2),14:30,20:45,06h 15m,INR 740,6 Seats available,2.5,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 188525,Volvo A/C Seater (2+2),16:30,22:45,06h 15m,INR 740,2 Seats available,3.3,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 157451,Volvo A/C Seater (2+2),17:30,23:45,06h 15m,INR 740,2 Seats available,3.4,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 189582,NON AC Seater / Sleeper 2+1,20:01,03:30,07h 29m,INR 448,17 Seats available,3.5,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 198960,NON AC Seater / Sleeper 2+1,20:40,04:40,08h 00m,INR 448,26 Seats available,4.6,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 163517,Express Non AC Seater 2+3,21:05,05:00,07h 55m,INR 356,34 Seats available,4.3,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 178948,Volvo A/C Seater (2+2),22:31,04:45,06h 14m,INR 740,25 Seats available,4.0,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 170972,Volvo A/C Seater (2+2),23:59,06:15,06h 16m,INR 740,33 Seats available,4.5,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
Jain travels regd,AC Sleeper (2+1),22:30,05:05,06h 35m,INR 600,19 Seats available,4.6,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
M R Travels,Bharat Benz A/C Sleeper (2+1),22:30,05:30,07h 00m,INR 600,20 Seats available,4.4,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
Gajraj Travels,A/C Sleeper (2+1),22:15,05:35,07h 20m,INR 600,8 Seats available,4.7,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
Jain travels regd,A/C Seater / Sleeper (2+1),23:00,06:00,07h 00m,INR 450,24 Seats available,4.2,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
M R Travels,A/C Seater / Sleeper (2+1),23:35,06:10,06h 35m,INR 510,28 Seats available,4.2,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 184043,Express Non AC Seater 2+3,12:45,19:00,06h 15m,INR 299,42 Seats available,3.7,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 183203,Express Non AC Seater 2+3,13:30,19:30,06h 00m,INR 299,42 Seats available,3.6,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 183141,Express Non AC Seater 2+3,14:35,21:00,06h 25m,INR 294,42 Seats available,4.1,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 192831,Express Non AC Seater 2+3,15:00,21:00,06h 00m,INR 285,42 Seats available,4.1,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 193271,Express Non AC Seater 2+3,19:30,02:00,06h 30m,INR 294,41 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 189622,Express Non AC Seater 2+3,22:00,05:00,07h 00m,INR 294,42 Seats available,4.7,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:55,04h 45m,INR 612,31 Seats available,4.6,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,21:30,04h 30m,INR 599,10 Seats available,4.5,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jain travels regd,VE A/C Seater / Sleeper (2+1),22:30,04:30,06h 00m,INR 460,10 Seats available,4.5,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,INR 457,9 Seats available,4.4,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jain travels regd,VE A/C Seater / Sleeper (2+1),13:45,19:45,06h 00m,INR 450,12 Seats available,4.1,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
M R Travels,A/C Seater / Sleeper (2+1),22:30,04:30,06h 00m,INR 349,18 Seats available,4.5,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,04:00,06h 00m,INR 350,46 Seats available,4.0,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Kalpana Travels,NON AC Seater / Sleeper 2+1,22:01,04:55,06h 54m,INR 350,28 Seats available,4.0,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Rishabh Travels Milan,Bharat Benz A/C Seater /Sleeper (2+1),21:00,02:15,05h 15m,INR 550,16 Seats available,4.3,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jain travels regd,NON AC Seater / Sleeper 2+1,23:15,06:00,06h 45m,INR 350,25 Seats available,3.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 199349,Deluxe AC Seater 2+2,12:00,14:00,02h 00m,INR 228,32 Seats available,3.5,https://www.redbus.in/bus-tickets/sikar-to-jaipur,Sikar to Jaipur (Rajasthan)
RSRTC - 136646,Express Non AC Seater 2+3,12:10,15:15,03h 05m,INR 129,45 Seats available,3.5,https://www.redbus.in/bus-tickets/sikar-to-jaipur,Sikar to Jaipur (Rajasthan)
RSRTC - 199394,Semi Deluxe Non AC Seater 2+2,12:25,15:00,02h 35m,INR 142,35 Seats available,3.5,https://www.redbus.in/bus-tickets/sikar-to-jaipur,Sikar to Jaipur (Rajasthan)
RSRTC - 199666,Deluxe AC Seater 2+2,12:30,14:30,02h 00m,INR 228,37 Seats available,3.1,https://www.redbus.in/bus-tickets/sikar-to-jaipur,Sikar to Jaipur (Rajasthan)
RSRTC - 179433,Express Non AC Seater 2+3,12:45,15:00,02h 15m,INR 129,42 Seats available,3.5,https://www.redbus.in/bus-tickets/sikar-to-jaipur,Sikar to Jaipur (Rajasthan)
