Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,22:30,05h 10m,INR 320,26 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8675,Rajdhani (AC Semi Sleeper 2+2),17:30,21:00,03h 30m,INR 389,30 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8859,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,22:10,04h 10m,INR 320,29 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64089,Rajdhani (AC Semi Sleeper 2+2),18:15,21:20,03h 05m,INR 389,31 Seats available,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64022,Rajdhani (AC Semi Sleeper 2+2),18:30,22:10,03h 40m,INR 429,23 Seats available,4.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8919,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,22:10,03h 40m,INR 320,28 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8625,Rajdhani (AC Semi Sleeper 2+2),19:00,22:30,03h 30m,INR 389,31 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,23:10,03h 40m,INR 320,27 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 4166,Rajdhani (AC Semi Sleeper 2+2),19:45,22:45,03h 00m,INR 389,32 Seats available,4.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8673,Rajdhani (AC Semi Sleeper 2+2),20:30,23:30,03h 00m,INR 389,30 Seats available,4.1,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:35,06:30,06h 55m,INR 650,25 Seats available,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
VKR Travels,A/C Sleeper (2+1),23:40,04:00,04h 20m,621,3 Seats available,4.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
RRR Travels,A/C Seater / Sleeper (2+1),23:45,05:15,05h 30m,INR 800,27 Seats available,4.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 600,18 Seats available,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:45,05:00,05h 15m,INR 649,10 Seats available,3.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64021,Rajdhani (AC Semi Sleeper 2+2),17:30,21:00,03h 30m,INR 389,26 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 64363,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,22:20,04h 20m,INR 320,24 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
