Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
UPSRTC - KSB0222,Ordinary Non AC Seater 2+3,11:31,17:31,06h 00m,INR 421,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - AZS0360,Ordinary Non AC Seater 2+3,11:35,18:30,06h 55m,INR 419,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - HPR0005,Ordinary Non AC Seater 2+3,11:40,18:00,06h 20m,INR 445,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - HPR0240,Ordinary Non AC Seater 2+3,11:45,18:10,06h 25m,INR 421,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - RKD0127,Shatabdi AC Seater 2+2,11:49,16:49,05h 00m,INR 515,37 Seats available,3.7,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - GRH0127,Ordinary Non AC Seater 2+3,12:00,18:30,06h 30m,INR 450,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - HPR0006,Ordinary Non AC Seater 2+3,12:00,18:30,06h 30m,INR 445,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - BLY0155,Ordinary Non AC Seater 2+3,12:00,17:30,05h 30m,INR 449,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - KSB0184,Ordinary Non AC Seater 2+3,12:00,18:00,06h 00m,INR 421,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - KSB0226,Ordinary Non AC Seater 2+3,12:01,18:01,06h 00m,INR 421,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - HPR0007,Ordinary Non AC Seater 2+3,12:20,19:00,06h 40m,INR 445,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - BRT0061,Ordinary Non AC Seater 2+3,12:30,19:40,07h 10m,INR 449,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - GND0079,Ordinary Non AC Seater 2+3,12:30,17:50,05h 20m,INR 427,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
