Route_name,State_Route_link
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Kanpur (Uttar Pradesh) to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
